experiment_id,metric,day,control_n,control_mean,control_se,treatment_n,treatment_mean,treatment_se,obs_lift,obs_lift_se,true_effect
tabs_revamp,review_starts,0,337618,0.22103182,0.00071413,347796,0.24160851,0.00072584,0.09309377,0.00482248,0.1
tabs_revamp,review_starts,1,357053,0.2297198,0.00070398,337254,0.25073032,0.00074635,0.09146151,0.00466297,0.08640481
tabs_revamp,review_starts,2,329480,0.23374387,0.0007373,334071,0.25109981,0.00075027,0.07425198,0.00466741,0.075274
tabs_revamp,review_starts,3,327103,0.2250449,0.00073018,315724,0.2410288,0.00076119,0.07102535,0.00484939,0.06616087
tabs_revamp,review_starts,4,380651,0.21362356,0.00066432,319794,0.22808973,0.000742,0.06771807,0.00480511,0.05869967
tabs_revamp,review_starts,5,328990,0.20729967,0.00070674,341989,0.21721649,0.00070512,0.04783806,0.00493272,0.05259096
tabs_revamp,review_starts,6,335817,0.20887307,0.00070148,325938,0.21995575,0.00072554,0.05305942,0.00495713,0.04758957
tabs_revamp,review_starts,7,326801,0.2195502,0.0007241,334158,0.22855498,0.00072639,0.0410147,0.00476808,0.04349477
tabs_revamp,review_starts,8,354558,0.22987983,0.00070662,363671,0.23988825,0.00070809,0.04353763,0.00444717,0.04014224
tabs_revamp,review_starts,9,380548,0.23306059,0.00068535,345195,0.24185114,0.00072882,0.03771784,0.00436934,0.03739742
tabs_revamp,review_starts,10,318854,0.22615096,0.00074085,380316,0.23362963,0.00068614,0.03306936,0.00454513,0.03515015
tabs_revamp,review_starts,11,315004,0.21477453,0.0007317,379459,0.22177044,0.00067441,0.03257326,0.00471539,0.03331024
tabs_revamp,review_starts,12,321692,0.20758961,0.00071509,379769,0.21455772,0.00066615,0.03356675,0.00479306,0.03180385
tabs_revamp,review_starts,13,348392,0.20919973,0.0006891,332797,0.21641581,0.00071383,0.03449374,0.00482233,0.03057052
tabs_revamp,review_starts,14,318869,0.21985602,0.00073342,344774,0.22648669,0.00071283,0.03015912,0.0047246,0.02956075
tabs_revamp,review_starts,15,350359,0.2304141,0.00071142,373725,0.23683929,0.00069544,0.02788544,0.0043797,0.02873403
tabs_revamp,review_starts,16,352659,0.23324812,0.00071213,329731,0.23949204,0.00074322,0.02676942,0.00446993,0.02805717
tabs_revamp,review_starts,17,338704,0.22632993,0.00071902,372311,0.23081936,0.00069055,0.01983579,0.00445038,0.027503
tabs_revamp,review_starts,18,354705,0.21377875,0.00068837,327138,0.22020848,0.0007245,0.03007657,0.00474205,0.02704928
tabs_revamp,review_starts,19,325141,0.20777728,0.00071152,379937,0.21187674,0.00066295,0.01973008,0.00473018,0.02667781
tabs_revamp,review_starts,20,374217,0.21054815,0.00066646,365060,0.21523741,0.00068021,0.02227164,0.00457255,0.02637367
tabs_revamp,review_starts,21,328303,0.22003024,0.00072301,328884,0.22464558,0.00072774,0.02097595,0.0047111,0.02612467
tabs_revamp,review_starts,22,347601,0.22937288,0.0007131,333108,0.23631605,0.00073606,0.03027024,0.00453399,0.0259208
tabs_revamp,review_starts,23,377639,0.23110608,0.00068596,311876,0.23901779,0.00076368,0.03423413,0.00451032,0.02575389
tabs_revamp,review_starts,24,341224,0.22478799,0.00071462,330556,0.23170805,0.00073386,0.03078486,0.00462564,0.02561723
tabs_revamp,review_starts,25,377394,0.21496274,0.0006687,347270,0.21992116,0.00070286,0.02306642,0.00456281,0.02550535
tabs_revamp,review_starts,26,325710,0.20747761,0.00071052,326546,0.21190112,0.00071513,0.0213204,0.00491053,0.02541374
tabs_revamp,review_starts,27,341048,0.20984221,0.00069726,322476,0.21480287,0.0007232,0.02363995,0.0048422,0.02533874
tabs_revamp,review_starts,28,322706,0.22059197,0.00072992,351660,0.22585885,0.00070513,0.02387611,0.00465786,0.02527734
tabs_revamp,review_starts,29,365739,0.22930299,0.00069512,335969,0.23625323,0.00073285,0.03031029,0.00446873,0.02522707
tabs_revamp,review_starts,30,312927,0.23268233,0.00075535,361025,0.23944593,0.00071023,0.02906795,0.00452512,0.02518591
tabs_revamp,review_starts,31,318198,0.22576014,0.00074116,357523,0.23094878,0.00070483,0.02298297,0.00458541,0.02515221
tabs_revamp,review_starts,32,319260,0.21370171,0.00072548,370168,0.22035312,0.00068125,0.03112473,0.00473455,0.02512462
tabs_revamp,review_starts,33,368072,0.2068504,0.00066764,327347,0.21251004,0.000715,0.02736103,0.00478995,0.02510203
tabs_revamp,review_starts,34,314609,0.20962701,0.00072569,318791,0.21516858,0.00072782,0.0264354,0.004968,0.02508353
tabs_revamp,review_starts,35,351325,0.22027352,0.00069919,335552,0.22416409,0.00071993,0.01766245,0.00459528,0.02506839
tabs_revamp,review_starts,36,340443,0.23126631,0.00072264,324348,0.23558424,0.00074513,0.01867079,0.00452911,0.02505599
tabs_revamp,review_starts,37,319762,0.23306895,0.00074766,373928,0.23830832,0.00069673,0.02247991,0.0044379,0.02504584
tabs_revamp,review_starts,38,351384,0.22568344,0.00070521,329932,0.23193368,0.0007348,0.02769472,0.00457311,0.02503753
tabs_revamp,review_starts,39,368584,0.21417879,0.00067574,334037,0.21894436,0.0007155,0.02225047,0.00464352,0.02503073
tabs_revamp,review_starts,40,378756,0.20731236,0.00065869,317627,0.21117951,0.0007242,0.01865373,0.00476217,0.02502516
tabs_revamp,review_starts,41,352543,0.20979037,0.00068574,328677,0.21472178,0.00071625,0.02350639,0.00478003,0.0250206
tabs_revamp,review_completions,0,260537,0.13874495,0.00067724,255452,0.13332983,0.00067257,-0.03902934,0.00674541,-0.048
tabs_revamp,review_completions,1,279734,0.1458552,0.00066735,271286,0.14072046,0.00066762,-0.03520438,0.00635911,-0.04001267
tabs_revamp,review_completions,2,245519,0.14763913,0.00071593,238370,0.14358971,0.00071825,-0.02742782,0.00677567,-0.03308864
tabs_revamp,review_completions,3,245224,0.14267534,0.00070626,267941,0.140267,0.00067087,-0.01687985,0.00676707,-0.02708634
tabs_revamp,review_completions,4,249945,0.13587042,0.00068538,249946,0.133442,0.00068018,-0.01787305,0.00704306,-0.02188309
tabs_revamp,review_completions,5,254821,0.13160817,0.0006697,283351,0.12972421,0.00063121,-0.01431492,0.00693982,-0.0173725
tabs_revamp,review_completions,6,285528,0.13373028,0.00063697,237498,0.13147295,0.00069339,-0.01687975,0.00698655,-0.01346237
